Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (umhos/cm)-Minimum,CONDUCTIVITY (umhos/cm)-Maximum,CONDUCTIVITY (umhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N+ NITRITE-N (mg/l)-Minimum,NITRATE- N+ NITRITE-N (mg/l)-Maximum,NITRATE- N+ NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean,FLUORIDE(mg/l)-Minimum,FLUORIDE(mg/l)-Maximum,FLUORIDE(mg/l)-Mean,WaterQualityCategory_encoded
2418,WATER QUALITY OF RIVER- BRAHMANI,KABATABANDHA (BEFORE IMPACT OFINDL ACTIY KALINGANAGAR AREA),ORISSA,23.0,35.0,28.1,5.6,9.5,7.6,7.3,8.4,7.8,97.0,221.0,154.0,1.0,2.6,1.8,0.05,4.02,0.92,840.0,8400.0,2323.0,1200.0,15000.0,5192.0,0.4,0.5696,0.51,13
1044,WATER QUALITY OF RIVER- BRAHMANI,BRAHMANI AT DHARMASHALA,ORISSA,19.0,38.0,26.0,6.3,9.7,7.8,7.5,8.2,7.9,113.0,308.0,176.0,1.2,2.8,2.0,0.08,3.0,0.97,940.0,11000.0,3537.0,1500.0,17000.0,6792.0,0.4,0.5696,0.51,13
1045,WATER QUALITY OF RIVER- BRAHMANI,BRAHMANI AT PATTAMUNDAI,ORISSA,18.0,33.0,27.1,5.6,9.5,7.4,7.4,8.5,8.0,124.0,364.0,203.0,0.8,2.4,1.7,0.07,0.88,0.31,1700.0,35000.0,6133.0,3500.0,92000.0,14717.0,0.4,0.5696,0.51,13
1036,WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- KOEL,KOEL AT MANOHARPUR AFTERMEETING KOINA RIVER DOWNSTREAM,JHARKHAND,18.0,30.0,26.1,7.6,8.2,7.8,7.4,7.8,7.6,164.0,178.0,169.0,0.3,1.1,0.6,0.0,8.11,4.67,230.0,17000.0,1995.0,580.0,35000.0,4178.0,0.4,0.5696,0.51,28
2413,WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- KOEL,KOEL UPSTREAM (A/C RIVER KARO),ORISSA,23.0,30.0,26.2,5.3,9.0,7.1,7.0,8.3,7.8,91.0,291.0,176.0,0.6,2.8,1.5,0.13,2.8,0.63,230.0,17000.0,1995.0,580.0,35000.0,4178.0,0.4,0.5696,0.51,28
1033,WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- KOEL,"KOEL AT BASIA,DAM UPSTREAM",JHARKHAND,17.0,29.0,22.6,6.0,8.2,7.3,6.6,7.3,6.9,127.5,234.5,172.5,1.0,6.8,1.9,0.065,5.455,2.65,230.0,17000.0,1995.0,580.0,35000.0,4178.0,0.4,0.5696,0.51,28
2376,WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- NORTH KOEL,NORTH KOEL UPSTREAM DALTANGANJ,JHARKHAND,16.5,29.0,24.3,7.3,8.1,7.8,6.6,7.4,7.1,260.0,577.0,425.0,1.0,3.0,1.6,0.12,1.27,0.58,150.0,150.0,150.0,750.0,750.0,750.0,0.4,0.5696,0.51,29
2377,WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- NORTH KOEL,"NORTH KOEL DOWNSTREAM BCCL, REHLA",JHARKHAND,16.9,29.0,24.0,7.2,8.3,7.7,6.5,7.5,6.9,260.0,577.0,425.0,1.0,3.0,1.8,0.12,1.27,0.58,230.0,280.0,255.0,1500.0,1500.0,1500.0,0.4,0.5696,0.51,29
2419,WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- KHANDITARA,KHANDITARA (DOWNSTREAM OF INDUSTRIAL ACTIVITIES AT KALINGA NAGAR),ORISSA,19.0,38.0,26.0,6.7,8.9,8.0,7.2,8.3,7.9,102.0,188.0,140.0,1.2,2.6,1.9,0.03,1.71,0.5,490.0,9400.0,2118.0,940.0,14000.0,3470.0,0.4,0.5696,0.51,27
2420,WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- AUL,AUL,ORISSA,23.0,32.0,27.8,5.1,8.8,6.9,7.1,8.1,7.7,113.0,193.0,152.0,0.8,2.6,1.5,0.04,1.94,0.54,700.0,24000.0,3299.0,1400.0,35000.0,5492.0,0.4,0.5696,0.51,25
1034,WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- SANKH,SANKH AT BOLBA,JHARKHAND,19.2,29.5,23.4,6.8,8.4,7.5,7.1,7.5,7.3,260.0,577.0,425.0,1.0,6.0,2.0,0.12,1.27,0.58,15.0,220.0,94.0,80.0,540.0,309.0,0.4,0.5696,0.51,30
1035,WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- KARO,KARO AT LOHOJIMI UPSTREAM,JHARKHAND,17.5,30.0,23.6,6.7,8.0,7.4,6.8,7.2,6.9,260.0,577.0,425.0,1.0,6.0,2.6,0.12,1.27,0.58,15.0,220.0,94.0,80.0,540.0,309.0,0.4,0.5696,0.51,26
1081,WATER QUALITY OF RIVER- BAITARNI,BAITARNI AT JODA,ORISSA,18.0,31.0,24.7,5.6,10.3,7.7,7.1,7.9,7.6,93.0,247.0,152.0,0.5,2.5,1.6,0.04,3.98,0.94,230.0,2200.0,714.0,700.0,4300.0,1472.0,0.4,0.5696,0.51,11
1082,WATER QUALITY OF RIVER- BAITARNI,BAITARNI AT ANANDPUR,ORISSA,15.0,33.0,27.8,5.6,10.3,7.3,7.3,8.2,7.8,83.0,288.0,161.0,0.6,2.4,1.6,0.02,1.32,0.4,1100.0,17000.0,3773.0,1700.0,28000.0,7209.0,0.4,0.5696,0.51,11
